record_id,error_type,token_index,token_text,token_start,assigned_label,expected_label,span_start,span_end,span_text,span_type
uvisd4sa_train_34,wrong_inside_label,40,..,82,B-ASP,I-ASP,66,132,mặt lúc dc lúc k.. lỗi màn hình khi mở máy .. màn hình vẫn tối ,aspect
uvisd4sa_train_37,wrong_start_label,8,nhiệt,17,I-ASP,B-ASP,21,36,t tình.Máy dùng,aspect
uvisd4sa_train_37,wrong_inside_label,11,.,27,B-ASP,I-ASP,21,36,t tình.Máy dùng,aspect
uvisd4sa_train_42,wrong_start_label,2,đẹp,4,I-ASP,B-ASP,5,12,ẹp pin ,aspect
uvisd4sa_train_42,wrong_inside_label,3, ,7,B-ASP,I-ASP,5,12,ẹp pin ,aspect
uvisd4sa_train_47,wrong_start_label,6,chán,13,I-ASP,B-ASP,15,26,án chơi gam,aspect
uvisd4sa_train_47,wrong_inside_label,7, ,17,B-ASP,I-ASP,15,26,án chơi gam,aspect
uvisd4sa_train_50,wrong_start_label,29,nhưng,58,I-ASP,B-ASP,62,74,g hơi tối và,aspect
uvisd4sa_train_50,wrong_start_label,37,tái,75,I-ASP,B-ASP,76,121,"ái, Camera tầm Trung. Cảm ứng mượt, bắt wifi ",aspect
uvisd4sa_train_50,wrong_inside_label,38,",",78,B-ASP,I-ASP,76,121,"ái, Camera tầm Trung. Cảm ứng mượt, bắt wifi ",aspect
uvisd4sa_train_55,wrong_start_label,15, ,30,I-ASP,B-ASP,30,39, thoải má,aspect
uvisd4sa_train_57,wrong_start_label,8,máy,15,I-ASP,B-ASP,17,25,"y ảnh ,l",aspect
uvisd4sa_train_57,wrong_inside_label,9, ,18,B-ASP,I-ASP,17,25,"y ảnh ,l",aspect
uvisd4sa_train_57,wrong_start_label,13,loa,24,I-ASP,B-ASP,26,45,a hơi bé còn lại tạ,aspect
uvisd4sa_train_57,wrong_inside_label,14, ,27,B-ASP,I-ASP,26,45,a hơi bé còn lại tạ,aspect
uvisd4sa_train_58,wrong_start_label,24,trâu,46,I-ASP,B-ASP,48,73,âu sạc nhanh chơi game th,aspect
uvisd4sa_train_58,wrong_inside_label,25, ,50,B-ASP,I-ASP,48,73,âu sạc nhanh chơi game th,aspect
uvisd4sa_train_59,wrong_start_label,7, ,17,I-ASP,B-ASP,17,67, kính .cấu hình các thứ không thể bằng iPhone 11 h,aspect
uvisd4sa_train_59,wrong_inside_label,9, ,22,B-ASP,I-ASP,17,67, kính .cấu hình các thứ không thể bằng iPhone 11 h,aspect
uvisd4sa_train_59,wrong_start_label,29,hay,66,I-ASP,B-ASP,68,83,y Samsung Note ,aspect
uvisd4sa_train_59,wrong_inside_label,30, ,69,B-ASP,I-ASP,68,83,y Samsung Note ,aspect
uvisd4sa_train_61,wrong_start_label,20,điện,40,I-ASP,B-ASP,42,49,ện thoạ,aspect
uvisd4sa_train_61,wrong_inside_label,21, ,44,B-ASP,I-ASP,42,49,ện thoạ,aspect
uvisd4sa_train_61,wrong_start_label,35, ,75,I-ASP,B-ASP,75,124," Fb , Zalo thì ổn chứ hãng Oppo mới lần đầu sd mà",aspect
uvisd4sa_train_61,wrong_inside_label,45, ,92,B-ASP,I-ASP,75,124," Fb , Zalo thì ổn chứ hãng Oppo mới lần đầu sd mà",aspect
uvisd4sa_train_62,wrong_start_label,16,m,25,I-ASP,B-ASP,25,36,m này đừng,aspect
uvisd4sa_train_62,wrong_inside_label,21, ,31,B-ASP,I-ASP,25,36,m này đừng,aspect
uvisd4sa_train_63,wrong_start_label,6,khá,13,I-ASP,B-ASP,15,51,á đẹp không tệ cho lắm nhưng để dùng,aspect
uvisd4sa_train_63,wrong_inside_label,7, ,16,B-ASP,I-ASP,15,51,á đẹp không tệ cho lắm nhưng để dùng,aspect
uvisd4sa_train_66,wrong_start_label,16,ứng,28,I-ASP,B-ASP,28,87,ứng nhạy . Ko lỗi . Chơi game hơi lag nhưng cũng có thể chơ,aspect
uvisd4sa_train_66,wrong_inside_label,19, ,36,B-ASP,I-ASP,28,87,ứng nhạy . Ko lỗi . Chơi game hơi lag nhưng cũng có thể chơ,aspect
uvisd4sa_train_68,wrong_start_label,10,hình,22,I-ASP,B-ASP,22,32,hình lớn Đ,aspect
uvisd4sa_train_68,wrong_inside_label,13, ,30,B-ASP,I-ASP,22,32,hình lớn Đ,aspect
uvisd4sa_train_68,wrong_start_label,23, ,48,I-ASP,B-ASP,48,60, điều hành m,aspect
uvisd4sa_train_69,wrong_start_label,41,chế,86,I-ASP,B-ASP,86,107,chế độ hao pin thấp. ,aspect
uvisd4sa_train_69,wrong_inside_label,50,.,105,B-ASP,I-ASP,86,107,chế độ hao pin thấp. ,aspect
uvisd4sa_train_69,wrong_start_label,54,nói,112,I-ASP,B-ASP,114,153,i là trâu bò nhất ở phân khúc 3tr. Loa ,aspect
uvisd4sa_train_69,wrong_inside_label,55, ,115,B-ASP,I-ASP,114,153,i là trâu bò nhất ở phân khúc 3tr. Loa ,aspect
uvisd4sa_train_72,wrong_start_label,12,đều,24,I-ASP,B-ASP,26,53,"u mượt, nghe nhạc to rõ khô",aspect
uvisd4sa_train_72,wrong_inside_label,15,",",32,B-ASP,I-ASP,26,53,"u mượt, nghe nhạc to rõ khô",aspect
uvisd4sa_train_75,wrong_inside_label,27,",",56,B-ASP,I-ASP,47,64,"in tâm ơn,hỏi tệ ",aspect
uvisd4sa_train_78,wrong_start_label,40,ảnh,84,I-ASP,B-ASP,85,100,nh xoá phông ch,aspect
uvisd4sa_train_79,wrong_start_label,15, ,29,I-ASP,B-ASP,29,37, ngon pi,aspect
uvisd4sa_train_79,wrong_inside_label,17, ,34,B-ASP,I-ASP,29,37, ngon pi,aspect
uvisd4sa_train_80,wrong_start_label,49,Tốc,98,I-ASP,B-ASP,98,116,Tốc độ mạng rất OK,aspect
uvisd4sa_train_80,wrong_inside_label,53,mạng,105,B-ASP,I-ASP,98,116,Tốc độ mạng rất OK,aspect
uvisd4sa_train_80,wrong_start_label,45, ,92,I-ASP,B-ASP,92,105, nhẹ. Tốc độ ,aspect
uvisd4sa_train_80,wrong_inside_label,47,.,96,B-ASP,I-ASP,92,105, nhẹ. Tốc độ ,aspect
uvisd4sa_train_80,wrong_start_label,56, ,113,I-ASP,B-ASP,113,134, OK. Chơi game thì rấ,aspect
uvisd4sa_train_80,wrong_inside_label,58,.,116,B-ASP,I-ASP,113,134, OK. Chơi game thì rấ,aspect
uvisd4sa_train_81,wrong_start_label,26,mượt,52,I-ASP,B-ASP,53,65,ượt mà ... G,aspect
uvisd4sa_train_81,wrong_inside_label,29, ,59,B-ASP,I-ASP,53,65,ượt mà ... G,aspect
uvisd4sa_train_82,wrong_start_label,21, ,38,I-ASP,B-ASP,38,45, vđ gì ,aspect
uvisd4sa_train_88,wrong_start_label,22,trâu,44,I-ASP,B-ASP,46,99,âu vãi . chơi game ổn. Vừa cập nhật 11.0.3 thấy fix d,aspect
uvisd4sa_train_88,wrong_inside_label,25, ,52,B-ASP,I-ASP,46,99,âu vãi . chơi game ổn. Vừa cập nhật 11.0.3 thấy fix d,aspect
uvisd4sa_train_94,wrong_start_label,2,tốt,4,I-ASP,B-ASP,6,10,"t, m",aspect
uvisd4sa_train_94,wrong_inside_label,3,",",7,B-ASP,I-ASP,6,10,"t, m",aspect
uvisd4sa_train_94,wrong_start_label,11, ,22,I-ASP,B-ASP,22,77," nhanh. Phần trình duyệt hình như bị lỗi, vào web baomo",aspect
uvisd4sa_train_94,wrong_inside_label,13,.,28,B-ASP,I-ASP,22,77," nhanh. Phần trình duyệt hình như bị lỗi, vào web baomo",aspect
uvisd4sa_train_95,wrong_start_label,25,Màn,52,I-ASP,B-ASP,52,63,Màn hình to,aspect
uvisd4sa_train_95,wrong_inside_label,28, ,60,B-ASP,I-ASP,52,63,Màn hình to,aspect
uvisd4sa_train_95,wrong_start_label,21, ,47,I-ASP,B-ASP,47,60, ổn. Màn hình,aspect
uvisd4sa_train_95,wrong_inside_label,23,.,50,B-ASP,I-ASP,47,60, ổn. Màn hình,aspect
uvisd4sa_train_95,wrong_start_label,29,to,61,I-ASP,B-ASP,62,70,"o, vân t",aspect
uvisd4sa_train_95,wrong_inside_label,30,",",63,B-ASP,I-ASP,62,70,"o, vân t",aspect
uvisd4sa_train_97,wrong_start_label,83,pin,168,I-ASP,B-ASP,168,206,pin thì khỏi phải nói rồi trâu bò luôn,aspect
uvisd4sa_train_97,wrong_inside_label,86, ,175,B-ASP,I-ASP,168,206,pin thì khỏi phải nói rồi trâu bò luôn,aspect
uvisd4sa_train_97,wrong_start_label,79, ,161,I-ASP,B-ASP,161,174," được, pin th",aspect
uvisd4sa_train_97,wrong_inside_label,81,",",166,B-ASP,I-ASP,161,174," được, pin th",aspect
uvisd4sa_train_98,wrong_start_label,68,không,145,I-ASP,B-ASP,148,217,ng hết . Và một cái nữa là máy mình . Sạc đầy pin 100% mình để máy ch,aspect
uvisd4sa_train_98,wrong_inside_label,71, ,154,B-ASP,I-ASP,148,217,ng hết . Và một cái nữa là máy mình . Sạc đầy pin 100% mình để máy ch,aspect
uvisd4sa_train_104,wrong_start_label,16,nên,36,I-ASP,B-ASP,37,57,ên rất ưngNv lqij tư,aspect
uvisd4sa_train_104,wrong_inside_label,21, ,49,B-ASP,I-ASP,37,57,ên rất ưngNv lqij tư,aspect
uvisd4sa_train_106,wrong_start_label,16,nhanh,33,I-ASP,B-ASP,33,50,nhanh va máy ảnh ,aspect
uvisd4sa_train_106,wrong_inside_label,17, ,38,B-ASP,I-ASP,33,50,nhanh va máy ảnh ,aspect
uvisd4sa_train_107,wrong_start_label,53,́,99,I-ASP,B-ASP,99,219,́p nhận được những âm thanh thì vãi a11 này quay video ca nhạc thì âm thanh thôi rồi không nghe được nhạc re ,aspect
uvisd4sa_train_107,wrong_inside_label,63, ,113,B-ASP,I-ASP,99,219,́p nhận được những âm thanh thì vãi a11 này quay video ca nhạc thì âm thanh thôi rồi không nghe được nhạc re ,aspect
uvisd4sa_train_108,wrong_start_label,20,hưởng,42,I-ASP,B-ASP,45,53,ng thiết,aspect
uvisd4sa_train_108,wrong_start_label,42,màn,87,I-ASP,B-ASP,87,107,màn hình mới mẻ nhất,aspect
uvisd4sa_train_108,wrong_inside_label,49, ,102,B-ASP,I-ASP,87,107,màn hình mới mẻ nhất,aspect
uvisd4sa_train_108,wrong_start_label,39, ,80,I-ASP,B-ASP,80,101, nhanh màn hình mới m,aspect
uvisd4sa_train_108,wrong_inside_label,41, ,86,B-ASP,I-ASP,80,101, nhanh màn hình mới m,aspect
uvisd4sa_train_114,wrong_start_label,22,Pin,44,I-ASP,B-ASP,44,56,Pin dung tốt,aspect
uvisd4sa_train_114,wrong_inside_label,24,dung,48,B-ASP,I-ASP,44,56,Pin dung tốt,aspect
uvisd4sa_train_114,wrong_start_label,25, ,52,I-ASP,B-ASP,52,60," tốt, ca",aspect
uvisd4sa_train_114,wrong_inside_label,27,",",56,B-ASP,I-ASP,52,60," tốt, ca",aspect
uvisd4sa_train_114,wrong_start_label,29,camera,58,I-ASP,B-ASP,62,74,ra và nghe g,aspect
uvisd4sa_train_114,wrong_inside_label,30, ,64,B-ASP,I-ASP,62,74,ra và nghe g,aspect
uvisd4sa_train_115,wrong_start_label,4,mượt,9,I-ASP,B-ASP,12,41,t mà sóngkhỏe ổn định vân tay,aspect
uvisd4sa_train_115,wrong_inside_label,7, ,16,B-ASP,I-ASP,12,41,t mà sóngkhỏe ổn định vân tay,aspect
uvisd4sa_train_118,wrong_start_label,13, ,31,I-ASP,B-ASP,31,72, pin nhanh chơi game mượt ko có hiện tượn,aspect
uvisd4sa_train_118,wrong_inside_label,17, ,41,B-ASP,I-ASP,31,72, pin nhanh chơi game mượt ko có hiện tượn,aspect
uvisd4sa_train_119,wrong_start_label,33, ,75,I-ASP,B-ASP,75,84, pin trâu,aspect
uvisd4sa_train_119,wrong_start_label,38,song,85,I-ASP,B-ASP,85,94,song khỏe,aspect
uvisd4sa_train_119,wrong_inside_label,39, ,89,B-ASP,I-ASP,85,94,song khỏe,aspect
uvisd4sa_train_122,wrong_start_label,2,tốt,5,I-ASP,B-ASP,7,33,t. Chơi game cả ngày k lo ,aspect
uvisd4sa_train_122,wrong_inside_label,3,.,8,B-ASP,I-ASP,7,33,t. Chơi game cả ngày k lo ,aspect
uvisd4sa_train_123,wrong_start_label,33,max,67,I-ASP,B-ASP,69,106,x không lag giật nếu trung bình 30 ha,aspect
uvisd4sa_train_123,wrong_inside_label,40, ,85,B-ASP,I-ASP,69,106,x không lag giật nếu trung bình 30 ha,aspect
uvisd4sa_train_123,wrong_start_label,49,hao10,104,I-ASP,B-ASP,107,125,10% pin ( liên quâ,aspect
uvisd4sa_train_123,wrong_inside_label,50,%,109,B-ASP,I-ASP,107,125,10% pin ( liên quâ,aspect
uvisd4sa_train_123,wrong_start_label,79,pin,164,I-ASP,B-ASP,164,172,pin trâu,aspect
uvisd4sa_train_125,wrong_start_label,84, ,180,I-ASP,B-ASP,180,206, giá máy như vậy là OK lun,aspect
uvisd4sa_train_127,wrong_start_label,37,rõ,74,I-ASP,B-ASP,74,163,rõ nét như quảng cáo. Cảm biến vân tay thì đúng thật quá chán. Thời gian đầu còn dùng đc.,aspect
uvisd4sa_train_127,wrong_inside_label,46,.,94,B-ASP,I-ASP,74,163,rõ nét như quảng cáo. Cảm biến vân tay thì đúng thật quá chán. Thời gian đầu còn dùng đc.,aspect
uvisd4sa_train_128,wrong_start_label,46,bản,97,I-ASP,B-ASP,98,103,ản cứ,aspect
uvisd4sa_train_131,wrong_start_label,22,Đc,50,I-ASP,B-ASP,50,61,Đc pin trâu,aspect
uvisd4sa_train_132,wrong_start_label,4,hết,10,I-ASP,B-ASP,12,22,"t,máy thì ",aspect
uvisd4sa_train_132,wrong_inside_label,5,",",13,B-ASP,I-ASP,12,22,"t,máy thì ",aspect
uvisd4sa_train_137,wrong_start_label,15,rất,32,I-ASP,B-ASP,34,64,"t nhanh, nhiều cảm ứng nhỏ ko ",aspect
uvisd4sa_train_137,wrong_inside_label,18,",",41,B-ASP,I-ASP,34,64,"t nhanh, nhiều cảm ứng nhỏ ko ",aspect
uvisd4sa_train_139,wrong_start_label,2,tệ,4,I-ASP,B-ASP,5,66,ệ mới mua mà giật lác kinh khủng nản so với các dòng như huwe,aspect
uvisd4sa_train_139,wrong_inside_label,3, ,6,B-ASP,I-ASP,5,66,ệ mới mua mà giật lác kinh khủng nản so với các dòng như huwe,aspect
uvisd4sa_train_141,wrong_start_label,32,dụng,65,I-ASP,B-ASP,65,155,"dụng ko thoait mái . nhận diện vân tay quá chậm , nhận diện khuôn mặt cũng rất chậm , phải",aspect
uvisd4sa_train_141,wrong_inside_label,39, ,83,B-ASP,I-ASP,65,155,"dụng ko thoait mái . nhận diện vân tay quá chậm , nhận diện khuôn mặt cũng rất chậm , phải",aspect
uvisd4sa_train_142,wrong_start_label,119,selfie,252,I-ASP,B-ASP,256,265,ie thì đừ,aspect
uvisd4sa_train_142,wrong_inside_label,120, ,258,B-ASP,I-ASP,256,265,ie thì đừ,aspect
uvisd4sa_train_143,wrong_start_label,63,nó,130,I-ASP,B-ASP,130,157,"nó thế, máy bao mượt và chụ",aspect
uvisd4sa_train_143,wrong_inside_label,73, ,150,B-ASP,I-ASP,130,157,"nó thế, máy bao mượt và chụ",aspect
uvisd4sa_train_144,wrong_start_label,17, ,34,I-ASP,B-ASP,34,47, thấy mồ. Còn,aspect
uvisd4sa_train_144,wrong_inside_label,21,.,42,B-ASP,I-ASP,34,47, thấy mồ. Còn,aspect
uvisd4sa_train_152,wrong_start_label,28,trọng,58,I-ASP,B-ASP,62,71,g với mặt,aspect
uvisd4sa_train_154,wrong_start_label,66,vài,136,I-ASP,B-ASP,138,169,i trận thì máy ấm ấm chứ ko nón,aspect
uvisd4sa_train_155,wrong_start_label,19, ,39,I-ASP,B-ASP,39,64," hình quá OK, màn hình 90",aspect
uvisd4sa_train_155,wrong_inside_label,25,",",51,B-ASP,I-ASP,39,64," hình quá OK, màn hình 90",aspect
uvisd4sa_train_158,wrong_start_label,8,a51,17,I-ASP,B-ASP,18,32,51 còn lại ngo,aspect
uvisd4sa_train_158,wrong_inside_label,9, ,20,B-ASP,I-ASP,18,32,51 còn lại ngo,aspect
uvisd4sa_train_162,wrong_start_label,19,siêu,41,I-ASP,B-ASP,43,54,êu đẹp. Tuy,aspect
uvisd4sa_train_162,wrong_inside_label,22,.,49,B-ASP,I-ASP,43,54,êu đẹp. Tuy,aspect
uvisd4sa_train_164,wrong_start_label,30,ngang,60,I-ASP,B-ASP,64,86,g ssA50 6gb ram. Nhưng,aspect
uvisd4sa_train_164,wrong_inside_label,37,.,79,B-ASP,I-ASP,64,86,g ssA50 6gb ram. Nhưng,aspect
uvisd4sa_train_166,wrong_start_label,39,Pin,72,I-ASP,B-ASP,72,82,Pin thì ok,aspect
uvisd4sa_train_166,wrong_start_label,34,cũng,62,I-ASP,B-ASP,65,106,g tốt. Pin thì ok. Youtobe đang coi chế đ,aspect
uvisd4sa_train_166,wrong_inside_label,37,.,70,B-ASP,I-ASP,65,106,g tốt. Pin thì ok. Youtobe đang coi chế đ,aspect
uvisd4sa_train_169,wrong_start_label,29,với,56,I-ASP,B-ASP,58,76,i các thứ vẫn ngon,aspect
uvisd4sa_train_170,wrong_start_label,18,xétMáy,34,I-ASP,B-ASP,38,53,áy hơi dày lướt,aspect
uvisd4sa_train_170,wrong_inside_label,19, ,40,B-ASP,I-ASP,38,53,áy hơi dày lướt,aspect
uvisd4sa_train_171,wrong_start_label,8,ngon,18,I-ASP,B-ASP,20,29,"on, camer",aspect
uvisd4sa_train_171,wrong_inside_label,9,",",22,B-ASP,I-ASP,20,29,"on, camer",aspect
uvisd4sa_train_174,wrong_start_label,14,dụng,31,I-ASP,B-ASP,31,71,"dụng, camera chụp ko rõ nét. Hơi mờ khi ",aspect
uvisd4sa_train_174,wrong_inside_label,15,",",35,B-ASP,I-ASP,31,71,"dụng, camera chụp ko rõ nét. Hơi mờ khi ",aspect
uvisd4sa_train_175,wrong_start_label,11,trâu,21,I-ASP,B-ASP,23,32,"âu, chụp ",aspect
uvisd4sa_train_175,wrong_inside_label,12,",",25,B-ASP,I-ASP,23,32,"âu, chụp ",aspect
uvisd4sa_train_176,wrong_start_label,24,hình,52,I-ASP,B-ASP,53,70,"ình đẹp pin ổn, h",aspect
uvisd4sa_train_176,wrong_inside_label,27, ,60,B-ASP,I-ASP,53,70,"ình đẹp pin ổn, h",aspect
uvisd4sa_train_176,wrong_start_label,44,camera,94,I-ASP,B-ASP,94,103,camera ổn,aspect
uvisd4sa_train_176,wrong_inside_label,45, ,100,B-ASP,I-ASP,94,103,camera ổn,aspect
uvisd4sa_train_176,wrong_start_label,44,camera,94,I-ASP,B-ASP,99,123,a ổn sạc nhanh wiffi mạn,aspect
uvisd4sa_train_176,wrong_inside_label,45, ,100,B-ASP,I-ASP,99,123,a ổn sạc nhanh wiffi mạn,aspect
uvisd4sa_train_176,wrong_inside_label,47, ,103,B-ASP,I-ASP,99,123,a ổn sạc nhanh wiffi mạn,aspect
uvisd4sa_train_182,wrong_start_label,6,ưng,12,I-ASP,B-ASP,14,22,g ý.ngon,aspect
uvisd4sa_train_182,wrong_inside_label,7, ,15,B-ASP,I-ASP,14,22,g ý.ngon,aspect
uvisd4sa_train_190,wrong_start_label,24,chơi,59,I-ASP,B-ASP,62,77,i game ok..came,aspect
uvisd4sa_train_190,wrong_inside_label,25, ,63,B-ASP,I-ASP,62,77,i game ok..came,aspect
uvisd4sa_train_191,wrong_start_label,10,xài,20,I-ASP,B-ASP,22,31,i ngon. C,aspect
uvisd4sa_train_191,wrong_inside_label,11, ,23,B-ASP,I-ASP,22,31,i ngon. C,aspect
uvisd4sa_train_191,wrong_start_label,15,Camera,30,I-ASP,B-ASP,33,48,era ok. Pin đủ ,aspect
uvisd4sa_train_191,wrong_inside_label,16, ,36,B-ASP,I-ASP,33,48,era ok. Pin đủ ,aspect
uvisd4sa_train_192,wrong_start_label,16,siêu,34,I-ASP,B-ASP,34,40,siêu m,aspect
uvisd4sa_train_192,wrong_start_label,18,mượt,39,I-ASP,B-ASP,41,84,ợt. Giá mềm. Câu hình khủng chơi game liên ,aspect
uvisd4sa_train_192,wrong_inside_label,19,.,43,B-ASP,I-ASP,41,84,ợt. Giá mềm. Câu hình khủng chơi game liên ,aspect
uvisd4sa_train_197,wrong_start_label,14,mọi,32,I-ASP,B-ASP,34,89,i game nặng. Máy tầm trung note 8 pro ăn đứt mọi đối th,aspect
uvisd4sa_train_197,wrong_inside_label,19,.,45,B-ASP,I-ASP,34,89,i game nặng. Máy tầm trung note 8 pro ăn đứt mọi đối th,aspect
uvisd4sa_train_199,wrong_start_label,30,Pin,63,I-ASP,B-ASP,63,71,Pin trâu,aspect
uvisd4sa_train_199,wrong_inside_label,31, ,66,B-ASP,I-ASP,63,71,Pin trâu,aspect
uvisd4sa_train_199,wrong_inside_label,33,",",71,B-ASP,I-ASP,66,85," trâu, ko lag hay g",aspect
uvisd4sa_train_199,wrong_start_label,41,giật,84,I-ASP,B-ASP,86,109,ật.Camera ko đc đẹp lắm,aspect
uvisd4sa_train_199,wrong_inside_label,42,.,88,B-ASP,I-ASP,86,109,ật.Camera ko đc đẹp lắm,aspect
uvisd4sa_train_208,wrong_start_label,154,bản,325,I-ASP,B-ASP,326,434,"ản bình thường thì tầm 2 ngày mình sạc một lần, chơi game thì tầm 1 ngày.Lúc mới mua máy mình cũng thử chơi ",aspect
uvisd4sa_train_208,wrong_inside_label,188,.,398,B-ASP,I-ASP,326,434,"ản bình thường thì tầm 2 ngày mình sạc một lần, chơi game thì tầm 1 ngày.Lúc mới mua máy mình cũng thử chơi ",aspect
uvisd4sa_train_210,wrong_start_label,55,đầu,118,I-ASP,B-ASP,118,192,"đầu rồi về sau tụt không rõ lí do ! Nghe nhạc loa ngoài khá chán, nghe bằn",aspect
uvisd4sa_train_210,wrong_inside_label,72, ,151,B-ASP,I-ASP,118,192,"đầu rồi về sau tụt không rõ lí do ! Nghe nhạc loa ngoài khá chán, nghe bằn",aspect
uvisd4sa_train_212,wrong_start_label,20,đáng,43,I-ASP,B-ASP,45,50,ng đế,aspect
uvisd4sa_train_212,wrong_start_label,23, ,51,I-ASP,B-ASP,51,59, từng xu,aspect
uvisd4sa_train_212,wrong_start_label,32,camera,69,I-ASP,B-ASP,72,85,"era tốt,máy d",aspect
uvisd4sa_train_212,wrong_inside_label,33, ,75,B-ASP,I-ASP,72,85,"era tốt,máy d",aspect
uvisd4sa_train_218,wrong_start_label,26, ,61,I-ASP,B-ASP,61,86," chung mượt mà, Pin chưa ",aspect
uvisd4sa_train_218,wrong_inside_label,32,",",75,B-ASP,I-ASP,61,86," chung mượt mà, Pin chưa ",aspect
uvisd4sa_train_219,wrong_start_label,24,Máy,49,I-ASP,B-ASP,49,62,Máy chạy mượt,aspect
uvisd4sa_train_221,wrong_start_label,28,sáng,67,I-ASP,B-ASP,70,82,g màn hình h,aspect
uvisd4sa_train_223,wrong_start_label,13, ,32,I-ASP,B-ASP,32,46, lưng hở và mà,aspect
uvisd4sa_train_223,wrong_inside_label,17, ,40,B-ASP,I-ASP,32,46, lưng hở và mà,aspect
uvisd4sa_train_227,wrong_start_label,20,phục,46,I-ASP,B-ASP,47,55,hục vụ t,aspect
uvisd4sa_train_231,wrong_start_label,14,tý,29,I-ASP,B-ASP,29,80,tý nào 9tr2 mà chip Snapdragon 675 là quá tệ rồi th,aspect
uvisd4sa_train_231,wrong_inside_label,17, ,35,B-ASP,I-ASP,29,80,tý nào 9tr2 mà chip Snapdragon 675 là quá tệ rồi th,aspect
uvisd4sa_train_232,wrong_inside_label,13, ,27,B-ASP,I-ASP,23,40,i ok pin đủ xài t,aspect
uvisd4sa_train_232,wrong_start_label,20,trong,39,I-ASP,B-ASP,41,69,"ong ngày,dòng này hiệu năng ",aspect
uvisd4sa_train_232,wrong_inside_label,21, ,44,B-ASP,I-ASP,41,69,"ong ngày,dòng này hiệu năng ",aspect
uvisd4sa_train_233,wrong_start_label,29,nhạy,58,I-ASP,B-ASP,61,76,y vân tay và cả,aspect
